Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,No_of_Votes,Publish_Date,Publish_year
Mercy Blade ,Jane Yellowrock,Faith Hunter ,Urban Fantasy,4.23,22255,802,24,2011-04-01,2011
The Throne of Fire ,The Kane Chronicles,Rick Riordan ,Urban Fantasy,4.19,204859,7373,11,2011-03-05,2011
Magic Binds ,Kate Daniels,Ilona Andrews ,Urban Fantasy,4.54,35668,2667,9,2016-09-20,2016
"Hush, Hush ","Hush, Hush",Becca Fitzpatrick ,Urban Fantasy,3.93,695995,29456,405,2009-10-13,2009
Bone Crossed ,Mercy Thompson,Patricia Briggs,Urban Fantasy,4.34,109045,3542,72,2009-03-02,2009
Destined for an Early Grave ,Night Huntress,Jeaniene Frost ,Urban Fantasy,4.32,84734,2997,17,2009-07-15,2009
The Van Alen Legacy ,Blue Bloods,Melissa de la Cruz ,Urban Fantasy,3.95,66076,1573,42,2009-06-10,2009
King Rat,-,China Miéville ,Urban Fantasy,3.55,9426,723,8,1998-01-01,1998
Taunting Destiny ,The Fae Chronicles,Amelia Hutchins ,Urban Fantasy,4.31,28831,1531,5,2013-09-18,2013
Widdershins ,Newford,Charles de Lint ,Urban Fantasy,4.21,4437,273,30,2006-05-16,2006
Artemis Fowl ,Artemis Fowl,Eoin Colfer,Urban Fantasy,3.86,543963,13574,61,2001-04-26,2001
In the Blood ,The Maker's Song,Adrian Phoenix ,Urban Fantasy,4.03,2605,174,12,2008-12-24,2008
Micah ,"Anita Blake, Vampire Hunter",Laurell K. Hamilton ,Urban Fantasy,3.67,46197,1049,20,2006-01-01,2006
Yarrow,-,Charles de Lint ,Urban Fantasy,3.91,2610,109,21,1986-01-01,1986
Fighting Destiny ,The Fae Chronicles,Amelia Hutchins ,Urban Fantasy,3.97,43954,3713,7,2013-02-06,2013
Angels' Blood ,Guild Hunter,Nalini Singh ,Urban Fantasy,4.08,91172,5744,402,2009-03-03,2009
A Game of Thrones ,A Song of Ice and Fire,George R.R. Martin,Urban Fantasy,4.44,2448550,62576,6,1996-06-08,1996
Magic Rises ,Kate Daniels,Ilona Andrews ,Urban Fantasy,4.45,57629,3847,35,2013-07-30,2013
Stargazer ,Evernight,Claudia Gray ,Urban Fantasy,3.79,56408,1527,20,2009-03-24,2009
Being a Green Mother ,Incarnations of Immortality,Piers Anthony,Urban Fantasy,3.97,18592,266,7,1987-01-10,1987
Fallen ,Fallen,Lauren Kate ,Urban Fantasy,3.72,579837,21782,399,2009-08-12,2009
Summon the Keeper ,Keeper's Chronicles,Tanya Huff,Urban Fantasy,3.97,5630,397,24,1998-01-05,1998
The Sweet Scent of Blood ,Spellcrackers.com,Suzanne McLeod ,Urban Fantasy,3.6,2441,263,13,2008-01-01,2008
Vampire Academy Collection ,Vampire Academy,Richelle Mead ,Urban Fantasy,4.61,34054,215,63,2009-10-13,2009
Winter's Tale,-,Mark Helprin,Urban Fantasy,3.51,28411,4385,18,1983-09-20,1983
Turn Coat ,The Dresden Files,Jim Butcher ,Urban Fantasy,4.44,103464,3380,32,2009-07-04,2009
